C1;C2;C3;C4
0,5100;11,9100;15,8100;143,6600
1,7800;12,5500;17,8800;151,4100
0,6900;12,2800;16,4200;144,0800
1,0400;12,8600;17,7000;137,4600
1,2900;12,2600;15,9200;143,2800
0,2700;12,8800;19,7600;148,2300
0,6200;15,1100;17,5200;146,9600
1,7200;13,8300;18,2700;156,5800
1,1900;13,9600;26,3000;148,4500
0,6800;13,2400;28,5600;153,0500
0,4000;14,7400;25,3500;157,1800
1,0100;14,2000;26,7600;147,6900
0,3700;13,1100;24,4400;152,7800
1,0000;13,5800;25,6900;157,5200
1,0000;13,7000;27,8600;149,6000
0,5200;13,1500;26,5800;139,6200
0,7000;12,3000;23,3900;149,7700
1,3400;15,3500;20,6900;150,0300
1,0600;13,8000;17,5700;143,6000
0,5300;14,0700;17,2400;157,0900
1,4600;11,8000;19,5300;154,0900
1,8200;12,5000;20,5800;156,9800
1,9300;12,5000;24,0100;147,9500
0,5400;12,5700;18,2200;142,1800
1,5600;11,1300;17,0500;160,4500
0,9800;11,5800;16,6900;157,8900
1,2900;9,3900;18,1900;151,8800
0,7400;11,1900;18,6300;150,9700
0,9000;11,1200;15,6000;151,3000
0,9700;10,9400;15,5300;155,7500
1,7000;9,4600;15,8600;148,3000
0,5800;10,9700;25,8500;155,3400
1,3000;10,6300;25,0000;157,8000
1,6200;9,7600;26,3100;152,6700
0,5100;9,0600;25,0200;160,1100
0,8000;8,5000;23,0900;150,7600
0,6000;9,2500;28,0000;159,1600
0,9500;22,9200;25,7200;154,0200
0,5000;10,5800;24,0300;155,0200
0,1700;26,1600;27,2400;146,4800
1,1200;8,8600;29,2200;145,9800
1,1700;11,4600;21,3600;155,1300
1,3600;33,1300;26,2700;147,3100
0,7200;13,8600;28,6500;145,2500
1,4900;14,2200;24,4700;145,8700
1,4800;12,8100;25,1300;151,9300
0,9600;8,9800;24,6300;155,0600
1,1700;9,3600;17,2600;155,5500
0,1800;8,3000;20,7600;152,0800
1,6200;9,3800;26,5400;148,7500
1,1000;9,5700;18,0300;147,4400
1,4000;8,6300;17,0300;151,3700
0,0800;9,6900;19,5800;150,5800
0,3100;10,6900;18,4200;142,5700
0,2800;11,7200;18,7900;152,6600
1,2000;10,1700;26,4900;155,2100
1,9400;11,6700;28,2600;147,6200
1,0000;11,5000;26,8400;148,8900
1,4000;11,2900;26,1400;147,6500
1,5900;9,6400;26,0200;138,4100
1,5100;10,9400;22,1300;154,1500
0,3300;8,9800;23,6200;135,9200
1,8400;9,6600;23,9500;149,5900
0,7000;9,8100;26,3600;146,4100
0,3900;9,9000;21,0200;144,3700
0,9300;9,1500;24,6800;145,4300
1,3200;9,4600;24,9700;152,7800
1,0400;10,8500;20,9900;148,9800
0,4700;9,8300;24,4000;149,4000
1,0100;10,3700;24,4800;148,8900
1,5400;10,4200;23,8100;156,3600
0,6000;10,3500;24,4400;154,3500
0,0300;10,4700;26,0500;150,2900
1,8000;10,7000;24,8000;140,6700
1,1100;10,3400;20,5400;142,2200
0,3600;10,2600;24,7100;147,9500
0,5600;10,9300;25,5200;143,9700
0,0600;11,1300;23,5000;145,3200
1,9400;10,8700;22,4000;137,0000
0,8000;10,7900;21,4700;137,7600
0,9000;11,3000;19,3100;134,6900
1,1800;10,8500;25,4100;147,2200
0,5400;11,1600;25,1300;139,6800
1,6400;11,0800;24,5600;143,1100
1,3400;10,0700;25,1500;145,1100
1,0600;10,7700;23,6800;136,2200
1,0400;10,6200;25,3300;144,1400
0,8900;9,2200;24,1400;142,4500
0,9500;8,6500;28,9800;145,4000
1,2200;9,0000;27,2000;146,2700
0,8800;10,2800;18,9300;154,3600
0,4600;9,4500;20,6800;151,1300
1,6800;11,0800;27,0100;147,4300
1,6200;11,2200;26,4600;147,9600
