C1;C2;C3;C4;C5;C6
1,0000;1,0000;1,0000;0,0000;0,0000;0,0000
1,0001;1,0000;1,0000;0,0000;0,0000;0,0000
1,0017;0,9975;1,0025;0,0025;0,0029;0,0000
1,0051;0,9953;1,0050;0,0049;0,0047;0,0000
1,0050;0,9856;1,0009;0,0025;0,0095;0,0004
1,0049;0,9839;0,9969;0,0031;0,0093;0,0000
1,0084;0,9886;0,9936;0,0029;0,0142;0,0000
1,0102;0,9822;0,9955;0,0015;0,0086;0,0019
1,0096;0,9894;1,0000;0,0019;0,0087;0,0023
1,0111;0,9924;0,9980;0,0031;0,0092;0,0029
1,0105;0,9885;1,0038;0,0009;0,0064;0,0031
1,0099;0,9877;0,9988;0,0000;0,0071;0,0030
1,0107;0,9974;0,9944;0,0023;0,0019;0,0010
1,0072;1,0021;1,0010;0,0002;0,0007;0,0000
1,0041;1,0010;1,0068;0,0000;0,0000;0,0009
1,0033;0,9986;1,0106;0,0000;0,0000;0,0011
1,0016;0,9989;1,0031;0,0000;0,0000;0,0029
1,0026;0,9953;1,0007;0,0011;0,0048;0,0000
1,0011;0,9831;1,0039;0,0031;0,0074;0,0000
0,9986;0,9952;1,0009;0,0068;0,0091;0,0000
1,0019;0,9955;0,9985;0,0074;0,0082;0,0000
1,0018;0,9989;1,0009;0,0084;0,0049;0,0000
1,0022;0,9985;0,9982;0,0063;0,0065;0,0012
0,9997;0,9943;1,0071;0,0056;0,0053;0,0000
0,9989;0,9925;1,0135;0,0044;0,0008;0,0004
0,9995;0,9828;1,0157;0,0041;0,0000;0,0000
0,9975;0,9970;1,0196;0,0062;0,0000;0,0000
0,9986;0,9890;1,0200;0,0052;0,0000;0,0000
0,9977;0,9834;1,0200;0,0082;0,0059;0,0000
0,9974;0,9808;1,0200;0,0063;0,0073;0,0000
0,9965;0,9888;1,0200;0,0074;0,0068;0,0000
1,0006;0,9888;1,0200;0,0040;0,0058;0,0000
1,0008;0,9828;1,0193;0,0032;0,0016;0,0000
0,9990;0,9907;1,0168;0,0051;0,0054;0,0000
1,0010;0,9948;1,0200;0,0041;0,0114;0,0000
0,9988;0,9987;1,0200;0,0042;0,0078;0,0000
0,9996;1,0023;1,0200;0,0022;0,0072;0,0000
0,9959;1,0168;1,0200;0,0000;0,0048;0,0000
0,9936;1,0200;1,0200;0,0000;0,0026;0,0000
0,9943;1,0200;1,0179;0,0025;0,0061;0,0000
0,9960;1,0200;1,0158;0,0002;0,0027;0,0000
0,9967;1,0200;1,0138;0,0023;0,0032;0,0000
0,9967;1,0200;1,0164;0,0022;0,0060;0,0000
0,9964;1,0200;1,0200;0,0000;0,0053;0,0000
0,9937;1,0200;1,0200;0,0000;0,0069;0,0000
0,9926;1,0184;1,0200;0,0000;0,0071;0,0000
0,9919;1,0200;1,0200;0,0000;0,0104;0,0000
0,9943;1,0200;1,0200;0,0000;0,0053;0,0000
0,9952;1,0160;1,0168;0,0000;0,0041;0,0000
0,9920;1,0159;1,0159;0,0000;0,0037;0,0000
0,9929;1,0200;1,0176;0,0000;0,0000;0,0000
0,9924;1,0200;1,0191;0,0000;0,0000;0,0000
0,9913;1,0200;1,0200;0,0000;0,0000;0,0000
0,9927;1,0200;1,0200;0,0000;0,0000;0,0000
0,9951;1,0200;1,0128;0,0000;0,0000;0,0000
0,9972;1,0200;1,0155;0,0000;0,0000;0,0000
0,9957;1,0183;1,0117;0,0000;0,0000;0,0000
0,9953;1,0107;1,0054;0,0000;0,0000;0,0000
0,9962;1,0146;0,9978;0,0000;0,0000;0,0000
0,9984;1,0147;1,0009;0,0000;0,0000;0,0000
0,9977;1,0142;0,9998;0,0000;0,0000;0,0000
0,9975;1,0111;0,9912;0,0000;0,0000;0,0000
0,9955;1,0089;0,9930;0,0000;0,0000;0,0000
0,9934;1,0144;0,9855;0,0000;0,0000;0,0000
0,9952;1,0114;0,9879;0,0000;0,0000;0,0000
0,9981;1,0037;0,9887;0,0000;0,0000;0,0000
0,9982;1,0089;0,9915;0,0000;0,0000;0,0000
1,0004;1,0075;1,0019;0,0000;0,0000;0,0000
1,0013;1,0081;0,9946;0,0000;0,0000;0,0000
1,0002;1,0178;0,9946;0,0000;0,0000;0,0000
1,0011;1,0170;0,9958;0,0000;0,0000;0,0000
1,0043;1,0186;0,9978;0,0000;0,0000;0,0000
1,0045;1,0121;0,9993;0,0000;0,0000;0,0000
1,0078;1,0105;0,9959;0,0000;0,0000;0,0000
1,0027;1,0149;0,9934;0,0000;0,0000;0,0000
1,0045;1,0037;0,9891;0,0000;0,0000;0,0000
1,0048;1,0054;0,9915;0,0000;0,0000;0,0000
1,0044;1,0059;0,9944;0,0000;0,0000;0,0000
1,0047;1,0059;0,9992;0,0000;0,0000;0,0000
1,0009;1,0120;0,9976;0,0022;0,0000;0,0000
1,0006;1,0126;0,9959;0,0029;0,0000;0,0000
1,0014;1,0200;0,9907;0,0012;0,0000;0,0000
1,0045;1,0149;0,9946;0,0000;0,0000;0,0000
1,0036;1,0163;0,9882;0,0000;0,0000;0,0000
1,0021;1,0162;0,9981;0,0000;0,0000;0,0000
1,0012;1,0089;0,9916;0,0000;0,0000;0,0000
1,0032;1,0142;0,9913;0,0000;0,0000;0,0000
1,0039;1,0200;1,0007;0,0000;0,0000;0,0000
1,0030;1,0200;1,0050;0,0000;0,0000;0,0022
1,0041;1,0200;1,0057;0,0000;0,0000;0,0055
1,0044;1,0200;1,0006;0,0000;0,0000;0,0037
1,0064;1,0200;0,9936;0,0000;0,0000;0,0043
1,0051;1,0145;0,9976;0,0000;0,0000;0,0000
1,0045;1,0095;1,0038;0,0000;0,0000;0,0017
1,0038;1,0008;1,0002;0,0000;0,0000;0,0030
1,0010;1,0107;0,9922;0,0000;0,0000;0,0035
1,0016;1,0089;0,9826;0,0000;0,0000;0,0013
1,0022;1,0068;0,9777;0,0000;0,0000;0,0061
1,0023;1,0121;0,9772;0,0000;0,0000;0,0023
1,0019;1,0051;0,9871;0,0000;0,0000;0,0051
0,9991;1,0002;0,9891;0,0000;0,0000;0,0033
0,9983;0,9997;0,9896;0,0000;0,0000;0,0049
0,9976;1,0056;0,9878;0,0000;0,0000;0,0065
0,9961;1,0082;0,9866;0,0000;0,0000;0,0061
0,9958;1,0090;0,9946;0,0000;0,0000;0,0042
0,9966;1,0092;0,9959;0,0000;0,0018;0,0056
1,0004;1,0116;0,9855;0,0000;0,0000;0,0069
1,0007;1,0136;0,9831;0,0000;0,0000;0,0098
1,0013;1,0072;0,9798;0,0000;0,0000;0,0063
1,0011;1,0075;0,9760;0,0000;0,0000;0,0039
0,9973;1,0008;0,9795;0,0000;0,0000;0,0040
0,9972;1,0000;0,9778;0,0004;0,0000;0,0036
0,9973;0,9971;0,9778;0,0001;0,0000;0,0029
1,0022;1,0123;0,9843;0,0000;0,0000;0,0060
1,0018;1,0133;0,9850;0,0000;0,0000;0,0000
1,0024;1,0044;0,9949;0,0000;0,0000;0,0000
1,0023;1,0036;0,9894;0,0026;0,0026;0,0000
0,9999;1,0065;0,9899;0,0030;0,0021;0,0000
1,0022;1,0157;0,9895;0,0024;0,0000;0,0000
1,0036;1,0124;0,9926;0,0000;0,0000;0,0000
1,0052;1,0031;0,9941;0,0000;0,0000;0,0027
1,0033;1,0083;0,9941;0,0000;0,0000;0,0026
1,0060;0,9992;0,9917;0,0000;0,0000;0,0048
1,0032;0,9974;0,9840;0,0000;0,0000;0,0000
1,0043;0,9949;0,9964;0,0000;0,0000;0,0011
1,0086;0,9949;0,9934;0,0005;0,0000;0,0005
1,0065;1,0003;0,9970;0,0000;0,0000;0,0000
1,0053;0,9955;0,9904;0,0000;0,0000;0,0008
1,0054;0,9935;0,9880;0,0000;0,0000;0,0008
1,0043;0,9936;0,9871;0,0014;0,0000;0,0007
